"acronym","Hugo_Symbol","mut_only","cnv_positive","cnv_negative","nothing","cnv_positive_mut","cnv_negative_mut","p.value","odds","p.adj"
"OV","ZMYM2",1,1365,3164,5957,1,1,0.338254907571836,4.36287768580028,0.557823882662325
"PRAD","ZFHX3",8,1389,3018,6072,1,4,1,0.546477932798469,1
"READ","TP53",36,809,3982,5598,3,77,0.471579194131518,0.576678647684674,0.651888886005334
"SARC","KANSL1",0,2030,1680,6778,1,0,0.230559654898399,Inf,0.471143642618468
"SARC","NF1",6,1836,1954,6690,1,2,1,0.607338881033682,1
"SKCM","RNF43",2,2475,1290,6721,1,0,1,1.35772939269055,1
"SKCM","SETBP1",7,1033,3314,6134,1,3,1,0.848317888921429,1
"SKCM","SMAD2",2,1001,3384,6099,2,1,0.0982301707794182,6.09038554517903,0.288551126664541
"SKCM","SPOP",1,2310,1313,6865,1,0,0.440255024240408,2.97139784675756,0.636676496593821
"SKCM","SRSF2",1,2716,1185,6587,1,0,0.498749089215526,2.42501184768592,0.653734578716084
"STAD","CACNA1A",10,1904,1786,6788,2,2,1,0.713056383372947,1
"STAD","CIC",25,1946,1804,6721,2,0,0.0650707186986455,0.276323162534879,0.210918881299058
"STAD","KMT2B",41,2375,1344,6739,3,0,0.00275543843276907,0.207637942494892,0.0287790236311437
"STAD","SMARCA4",6,1838,1921,6717,2,7,0.683841005950621,1.21814214530031,0.868662899450789
"UCEC","ARAF",11,1375,2038,7063,3,0,0.488308164464067,1.40086095809473,0.653734578716084
"UCEC","ATRX",58,1388,1928,7128,1,0,0.000577024959117895,0.0885532892142423,0.00904005769284701
"UCEC","DDX3X",18,1253,2209,7009,3,0,1,0.932288829634652,1
"UCEC","DMD",87,1286,2443,6708,3,1,0.000237852393102837,0.17988907301912,0.00904005769284701
"UCEC","EP300",59,1241,3170,6027,1,2,0.00037048080162273,0.0823269964717282,0.00904005769284701
"UCEC","HUWE1",33,1445,1956,7062,1,0,0.0218586716003212,0.148114093105136,0.125288611863889
"UCEC","KDM5C",10,1396,1991,7088,4,0,0.268117571295875,2.03079620251882,0.519111379034787
"UCEC","MED12",40,1429,1853,7169,5,0,0.422355257462351,0.627130730806883,0.620334284397829
"UCEC","PLXNB2",16,1168,3399,5903,1,3,0.337916915530276,0.315904468071692,0.557823882662325
"UCEC","RPS6KA3",13,1346,2200,6931,1,0,0.713639572352567,0.396132656978904,0.882659471067649
"UCEC","SMARCB1",6,1412,2809,6261,1,0,1,0.739051009252243,1
"UCEC","SMC1A",14,1404,1983,7085,1,3,0.490608844505341,0.360478526897141,0.653734578716084
"UCEC","TAF1",58,1434,1850,7141,5,6,0.0624598753791904,0.429319766944869,0.210918881299058
"UCEC","USP9X",47,1262,2207,6977,5,1,0.33372382278022,0.588174233161464,0.557823882662325
